               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 145,             0.02536,            0.017915,                   0,             0.99123,             0.97936,             0.99361,             0.81653,            0.017974,           0.0079024,                   0,           0.0042976,           0.0042976,           0.0042976
                 146,            0.025447,            0.020081,                   0,             0.99123,             0.97848,             0.99413,             0.81803,            0.017733,           0.0078255,                   0,            0.004258,            0.004258,            0.004258
                 147,            0.026184,            0.019148,                   0,             0.98401,             0.98401,             0.99417,             0.81118,            0.017706,           0.0079121,                   0,           0.0042184,           0.0042184,           0.0042184
                 148,            0.025346,            0.018353,                   0,             0.99053,             0.97535,             0.99359,             0.81309,            0.017414,           0.0078482,                   0,           0.0041788,           0.0041788,           0.0041788
                 149,            0.026094,            0.019361,                   0,             0.99158,             0.97735,             0.99405,             0.81873,            0.017836,           0.0077727,                   0,           0.0041392,           0.0041392,           0.0041392
                 150,            0.025512,            0.019026,                   0,             0.99068,             0.97935,             0.99365,             0.82943,            0.017081,           0.0077921,                   0,           0.0040996,           0.0040996,           0.0040996
                 151,            0.025578,            0.020052,                   0,             0.98856,             0.97869,             0.99354,             0.80967,            0.017796,           0.0081151,                   0,             0.00406,             0.00406,             0.00406
                 152,            0.025302,            0.018637,                   0,             0.99255,              0.9759,             0.99387,             0.80266,            0.018067,           0.0080547,                   0,           0.0040204,           0.0040204,           0.0040204
                 153,            0.023881,            0.017829,                   0,             0.99122,             0.97807,             0.99408,             0.83229,            0.016458,            0.007691,                   0,           0.0039808,           0.0039808,           0.0039808
                 154,            0.024112,            0.018305,                   0,             0.98853,             0.97639,             0.99372,             0.80997,            0.017247,           0.0079237,                   0,           0.0039412,           0.0039412,           0.0039412
                 155,            0.026384,            0.021219,                   0,             0.99322,             0.97616,             0.99312,             0.82842,            0.016366,           0.0077428,                   0,           0.0039016,           0.0039016,           0.0039016
                 156,            0.024141,            0.018166,                   0,             0.99232,             0.97735,             0.99354,             0.80922,            0.018064,           0.0078622,                   0,            0.003862,            0.003862,            0.003862
                 157,             0.02451,            0.018846,                   0,             0.99384,             0.97735,             0.99409,              0.8332,            0.016479,           0.0076915,                   0,           0.0038224,           0.0038224,           0.0038224
                 158,            0.024582,            0.019357,                   0,             0.99058,             0.98045,             0.99426,             0.83102,            0.016691,           0.0075797,                   0,           0.0037828,           0.0037828,           0.0037828
                 159,            0.024237,            0.018924,                   0,             0.99129,              0.9856,             0.99443,             0.82593,            0.017605,           0.0078192,                   0,           0.0037432,           0.0037432,           0.0037432
                 160,            0.024067,            0.017448,                   0,             0.98928,             0.98361,              0.9943,             0.81125,            0.018654,           0.0079142,                   0,           0.0037036,           0.0037036,           0.0037036
                 161,            0.025469,            0.019521,                   0,             0.99131,             0.98401,             0.99422,             0.83006,            0.016656,           0.0075996,                   0,            0.003664,            0.003664,            0.003664
                 162,            0.024392,            0.018851,                   0,             0.99327,             0.98313,             0.99451,             0.83368,            0.016414,           0.0075739,                   0,           0.0036244,           0.0036244,           0.0036244
